,Buy and Hold,Strategy,Longs,Sells,Shorts,Covers,Stdev_Strategy,Stdev_Hold,Stock
2568,133.98,-3.6,16,16,15,15,87.06893858609389,1796.68400340847,AAPL_245-285
2569,133.98,-12.96,29,29,28,28,232.7731742801981,1796.68400340847,AAPL_175-10
2570,133.98,-9.05,18,18,17,17,184.5060726395943,1796.68400340847,AAPL_205-145
2571,133.98,-6.45,17,17,18,18,127.10607739944138,1796.68400340847,AAPL_180-220
2572,133.98,-4.62,14,14,15,15,92.24450403981444,1796.68400340847,AAPL_220-260
2573,133.98,-6.09,16,16,17,17,115.85401339927915,1796.68400340847,AAPL_130-200
2574,133.98,-6.09,17,17,18,18,75.48302847427651,1796.68400340847,AAPL_195-245
2575,133.98,-9.77,21,21,20,20,145.8873270198417,1796.68400340847,AAPL_165-105
2576,133.98,-7.29,18,18,17,17,126.17608165514034,1796.68400340847,AAPL_240-75
2577,133.98,-5.72,19,19,20,20,108.7092777872368,1796.68400340847,AAPL_155-205
2578,133.98,-7.29,17,17,16,16,90.91468164233716,1796.68400340847,AAPL_230-160
2579,133.98,-7.57,17,17,16,16,103.4690144084993,1796.68400340847,AAPL_215-60
2580,133.98,-6.45,20,20,19,19,126.34336352904133,1796.68400340847,AAPL_190-40
2581,133.98,-9.59,26,26,25,25,215.8844255955192,1796.68400340847,AAPL_140-105
2582,133.98,-10.43,25,25,24,24,187.7935705261741,1796.68400340847,AAPL_175-15
2583,133.98,0.24,13,13,13,13,51.37737337407704,1796.68400340847,AAPL_245-290
2584,133.98,-3.39,19,19,18,18,82.39189174176921,1796.68400340847,AAPL_205-150
2585,133.98,-6.72,14,14,15,15,106.17427465913988,1796.68400340847,AAPL_220-265
2586,133.98,-9.07,16,16,17,17,153.84109404871003,1796.68400340847,AAPL_180-225
2587,133.98,-7.46,16,16,17,17,131.14505619024757,1796.68400340847,AAPL_195-250
2588,133.98,-11.58,33,33,32,32,176.78506392799366,1796.68400340847,AAPL_150-15
2589,133.98,-7.21,16,16,17,17,135.00442478441332,1796.68400340847,AAPL_130-205
2590,133.98,-12.28,21,21,20,20,187.0149485994518,1796.68400340847,AAPL_165-110
2591,133.98,-8.8,14,14,13,13,143.38660714104643,1796.68400340847,AAPL_240-80
2592,133.98,-4.58,17,17,16,16,100.1131830389915,1796.68400340847,AAPL_230-165
2593,133.98,-8.1,27,27,26,26,144.38335458526575,1796.68400340847,AAPL_140-110
2594,133.98,-7.68,17,17,16,16,124.02907308294732,1796.68400340847,AAPL_215-65
2595,133.98,-9.52,20,20,21,21,144.32839602737627,1796.68400340847,AAPL_155-210
2596,133.98,-9.41,20,20,19,19,154.28905292675978,1796.68400340847,AAPL_205-155
2597,133.98,0.89,12,12,12,12,48.06403037673473,1796.68400340847,AAPL_245-295
2598,133.98,-10.71,19,19,18,18,159.4480214836834,1796.68400340847,AAPL_190-45
2599,133.98,-5.25,16,16,17,17,96.31676056363432,1796.68400340847,AAPL_180-230
2600,133.98,-2.74,13,13,14,14,64.77000403037387,1796.68400340847,AAPL_220-270
2601,133.98,-7.18,24,24,23,23,111.84441709716656,1796.68400340847,AAPL_175-20
2602,133.98,-10.03,30,30,28,28,131.39498350236408,1796.68400340847,AAPL_150-20
2603,133.98,-3.11,16,16,17,17,68.69694792937922,1796.68400340847,AAPL_130-210
2604,133.98,-3.38,14,14,15,15,75.57283927369427,1796.68400340847,AAPL_195-255
2605,133.98,-6.24,14,14,13,13,90.66656359640356,1796.68400340847,AAPL_240-85
2606,133.98,-8.6,17,17,16,16,134.55693722105028,1796.68400340847,AAPL_230-170
2607,133.98,-5.24,21,21,20,20,101.77414592145088,1796.68400340847,AAPL_165-115
2608,133.98,-8.58,28,28,26,26,178.53749801160993,1796.68400340847,AAPL_140-115
2609,133.98,-6.45,18,18,18,18,119.25011166999823,1796.68400340847,AAPL_155-215
2610,133.98,-7.89,17,17,15,15,120.0713593772127,1796.68400340847,AAPL_215-70
2611,133.98,-7.18,20,20,19,19,113.47869225278018,1796.68400340847,AAPL_205-160
2612,133.98,-9.78,12,12,12,12,137.30303779422658,1796.68400340847,AAPL_245-300
2613,133.98,-14.08,17,17,18,18,212.33827371437235,1796.68400340847,AAPL_180-235
2614,133.98,-9.87,18,18,17,17,143.84276078051644,1796.68400340847,AAPL_190-50
2615,133.98,-6.99,12,12,13,13,109.96404193577769,1796.68400340847,AAPL_220-275
2616,133.98,-13.47,23,23,22,22,226.8200523331948,1796.68400340847,AAPL_175-25
2617,133.98,-0.52,18,18,17,17,41.67153172905143,1796.68400340847,AAPL_230-175
2618,133.98,-5.56,12,12,13,13,78.5390969581336,1796.68400340847,AAPL_195-260
2619,133.98,-6.89,21,21,19,19,118.27223949039148,1796.68400340847,AAPL_165-120
2620,133.98,-10.34,30,30,29,29,230.76015556566333,1796.68400340847,AAPL_140-120
2621,133.98,-6.35,16,16,17,17,109.43592408853546,1796.68400340847,AAPL_155-220
2622,133.98,-10.8,17,17,18,18,203.57332325040588,1796.68400340847,AAPL_180-240
2623,133.98,0.0,0,0,0,0,0.0,1796.68400340847,AAPL_250-0
2624,133.98,-4.95,14,14,13,13,71.55871572535315,1796.68400340847,AAPL_240-90
2625,133.98,-0.92,16,16,17,17,40.37176912845383,1796.68400340847,AAPL_130-215
2626,133.98,-4.07,16,16,15,15,69.58636413676857,1796.68400340847,AAPL_215-75
2627,133.98,-10.37,19,19,18,18,130.21356767799338,1796.68400340847,AAPL_205-165
2628,133.98,-10.86,17,17,16,16,173.60303468106864,1796.68400340847,AAPL_190-55
2629,133.98,-2.66,11,11,12,12,48.89990676053383,1796.68400340847,AAPL_220-280
2630,133.98,-6.28,29,29,26,26,149.81215496321565,1796.68400340847,AAPL_150-25
2631,133.98,-11.64,23,23,22,22,169.47924687630575,1796.68400340847,AAPL_175-30
2632,133.98,-7.68,21,21,20,20,141.24534448570554,1796.68400340847,AAPL_165-125
2633,133.98,-7.56,17,17,16,16,124.19473687023576,1796.68400340847,AAPL_230-180
2634,133.98,-10.94,35,35,33,33,193.084934563774,1796.68400340847,AAPL_140-125
