,SLOWFAST,Buy and Hold,Strategy,SLOW,FAST
197,52-54,73.175,-0.7637499999999996,52,54
198,52-55,73.175,-1.08,52,55
199,52-56,73.175,-0.715,52,56
200,52-57,73.175,-0.5762499999999996,52,57
201,52-58,73.175,-0.6262500000000003,52,58
202,52-59,73.175,-0.4287500000000001,52,59
203,52-6,73.175,62.25875,52,6
204,52-60,73.175,-0.008749999999999702,52,60
205,52-61,73.175,0.07000000000000017,52,61
206,52-62,73.175,0.45499999999999996,52,62
207,52-63,73.175,0.5474999999999998,52,63
208,52-64,73.175,0.8075000000000002,52,64
209,52-65,73.175,1.19625,52,65
210,52-66,73.175,0.5899999999999997,52,66
211,52-67,73.175,-0.01375000000000004,52,67
212,52-68,73.175,0.20374999999999976,52,68
213,52-69,73.175,0.26124999999999987,52,69
214,52-7,73.175,61.50125,52,7
215,52-70,73.175,0.23125000000000007,52,70
216,52-71,73.175,-0.22624999999999995,52,71
217,52-72,73.175,0.06249999999999989,52,72
218,52-73,73.175,0.23125000000000007,52,73
219,52-74,73.175,0.04500000000000026,52,74
220,52-8,73.175,64.61375,52,8
221,52-9,73.175,64.44875,52,9
222,53-1,73.175,52.97,53,1
223,53-10,73.175,67.29375,53,10
224,53-11,73.175,67.095,53,11
225,53-12,73.175,66.705,53,12
226,53-13,73.175,66.45875,53,13
227,53-14,73.175,68.42,53,14
228,53-15,73.175,69.91125,53,15
229,53-16,73.175,69.9375,53,16
230,53-17,73.175,70.2325,53,17
231,53-18,73.175,71.37125,53,18
232,53-19,73.175,72.45375,53,19
233,53-2,73.175,53.12875,53,2
234,53-20,73.175,74.03625,53,20
235,53-21,73.175,74.28,53,21
236,53-22,73.175,71.3025,53,22
237,53-23,73.175,72.89,53,23
238,53-24,73.175,74.77625,53,24
239,53-25,73.175,74.34625,53,25
240,53-26,73.175,73.3175,53,26
241,53-27,73.175,73.19625,53,27
242,53-28,73.175,69.43875,53,28
243,53-29,73.175,68.9,53,29
244,53-3,73.175,57.6875,53,3
245,53-30,73.175,69.0425,53,30
246,53-31,73.175,69.285,53,31
247,53-32,73.175,72.75,53,32
248,53-33,73.175,72.55125,53,33
249,53-34,73.175,72.36500000000001,53,34
250,53-35,73.175,73.19875,53,35
251,53-36,73.175,70.98375,53,36
252,53-37,73.175,76.0075,53,37
253,53-38,73.175,81.55625,53,38
254,53-39,73.175,81.895,53,39
255,53-4,73.175,62.6925,53,4
256,53-40,73.175,81.31625,53,40
